ID,Last Contact,City State,Location,Sex,Missing Age From,Missing Age To,Current Age From,Current Age To,Ethnicity,Height,Weight,Hair Color,Left Eye Color,Right Eye Color,Clothing,Physical Features
MP1112,2004-04-29,"East Chicago, Indiana","(41.63920239999999, -87.4547635)",Male,23,23,43,43,Hispanic / Latino,70.0,172.0,Black,Brown,Brown,,"Scar/mark: two moles on right cheek, mole on left cheek"
MP751,2001-10-31,"Ft. Wayne, Indiana","(41.079273, -85.1393513)",Male,22,22,45,45,Black / African American,71.0,135.0,Black,Brown,Brown,"possibly wearing white athletic shoes
possibly wearing white athletic shoes
possibly wearing white wedding band","Piercing: pierced left ear
Scar/mark: horizontal scar on bottom of left elbow
Tattoo: ""Troop"" on upper left bicep; tattoo of the words ""The Bryant Family Tree"" ""Bethany Bryant"" ""Javin Bryant"" written in the branches on the back"
MP7739,1977-03-10,"Bloomington, Indiana","(39.165325, -86.52638569999999)",Female,22,22,69,69,White / Caucasian,65.0,120.0,Brown,Green,Green,Contact Lenses,
MP9699,1962-07-01,"Indianapolis, Indiana","(39.768403, -86.158068)",Female,19,19,82,82,White / Caucasian,65.0,125.0,Brown,Hazel,Hazel,,Finger and toe nails: Crooked left index finger; Dimple on chin
MP9435,2008-12-31,"Lafayette, Indiana","(40.4167022, -86.87528689999999)",Male,52,52,68,68,White / Caucasian,72.0,140.0,Gray or Partially Gray,Hazel,Hazel,"Maroon shirt with green stripes, black pants, green jacket with grey liner.
Wire rim glasses
Black shoes",Piercing: left ear
MP5308,1979-09-05,"Anderson, Indiana","(40.1053196, -85.6802541)",Female,13,13,59,59,White / Caucasian,63.0,90.0,Blond/Strawberry,Blue,Blue,,
MP5441,2006-12-04,"Indianapolis, Indiana","(39.768403, -86.158068)",Male,20,20,38,38,Black / African American,73.0,160.0,Black,Brown,Brown,,"Piercing: Both ears are pierced
Tattoo: He has three tattoos; â€œJasonâ€ on his right arm with a maple leaf above it, â€œScooby and Scrappy Dooâ€ on his left arm and his motherâ€™s name â€œNeatriceâ€ across his chest.
Other distinctive physical characteristic: Jason has a chipped front tooth."
MP4822,1985-08-06,"West Lafayette, Indiana","(40.4258686, -86.90806549999999)",Female,19,19,58,58,White / Caucasian,66.0,125.0,Brown,Brown,Brown,"White blouse; Pink shorts
White flat shoes
18 or 24 karat plain gold necklace",
MP5007,1983-05-29,"Indianapolis, Indiana","(39.7745272, -86.1165518)",Female,24,24,66,66,White / Caucasian,64.0,115.0,Black,Brown,Brown,,"Scar/mark: Scar on buttocks from drain cleaner burn; Scars on shins
Tattoo: Tattoo of a small rose on hip; Unknown tattoo on shoulder"
MP6448,2002-04-18,"Aurora, Indiana","(39.0570022, -84.9013402)",Male,3,3,25,25,Asian,36.0,40.0,Black,Brown,Brown,,
MP10663,2010-07-30,"Rochester, Indiana","(41.0647645, -86.2158331)",Male,27,27,41,41,White / Caucasian,69.0,170.0,Brown,Brown,Brown,,
MP10654,1991-03-01,"Kokomo, Indiana","(40.486427, -86.13360329999999)",Female,29,29,63,63,White / Caucasian,63.0,118.0,Brown,Blue,Blue,,Scar/mark: Scar on eye and ankle
